title,genres,actors,directors,synopsis,rating
Nightbitch,"Comedy, Horror","Amy Adams, Scoot McNairy, Arleigh Snowden",Marielle Heller,"A woman, thrown into the stay-at-home routine of raising a toddler in the suburbs, slowly embraces the feral power deeply rooted in motherhood, as she becomes increasingly aware of the bizarre and undeniable signs that she may be turning into a dog.",6.3
Zak & Wowo: The Legend of Lendarys,"Animation, Adventure, Fantasy","Jérôme Niel, Manu Payet, Clara Luciani","Philippe Duchene, Jean-Baptiste Cuvelier","At the heart of an imaginary world populated by fantastical creatures and dangerous monsters, the 13 year-old Zak goes in search of his twin brother Kyle, who has disappeared mysteriously. Equipped with a magical jade stone whose superpowers he doesn't yet know how to control, he is joined by his grandmother NaïNaï and Indiana, a beautiful outlaw who can communicate with the world's fantastical creatures. But he is also flanked by Wowo, formerly a 3 meter-tall furry pachyderm, now turned into a tiny, cute and wacky furball by the magical jade stone.",7.0
Last Stop: Rocafort St.,"Horror, Mystery","Natalia Azahara, Javier Gutiérrez, Valèria Sorolla",Luis Prieto,"Laura has recently started working in the Barcelona subway. She has been assigned the old and quiet Rocafort station, but it won't be long before she discovers that this stop harbors a legend that will begin to haunt her: many people have died there in strange circumstances over the years and no one seems to be interested in knowing the truth.",5.2
IF,"Comedy, Fantasy, Family","Cailey Fleming, Ryan Reynolds, John Krasinski",John Krasinski,"After discovering she can see everyone's imaginary friends, a girl embarks on a magical adventure to reconnect forgotten imaginary friends with their kids.",7.153
Azrael,"Action, Horror, Thriller","Samara Weaving, Vic Carmen Sonne, Katariina Unt",E.L. Katz,"In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness.",6.1
El Candidato Honesto,Comedy,"Adrián Uribe, Mariana Seoane, Teresa Ruiz",Pipe Ybarra,"A former idealistic leader turned corrupt politician is cursed by his grandmother on the eve of the presidential election, forcing him to be honest. Can he win without lies and what will be the conditions?",6.7
Ad Vitam,"Thriller, Drama, Crime, Action","Guillaume Canet, Alexis Manenti, Stéphane Caillard",Rodolphe Lauga,"When he and his pregnant wife are attacked in their home, a former elite agent becomes trapped in a deadly manhunt tied to his own painful past.",6.436
Sister Swapping,"Romance, Drama","Ga Won, White Sugar, Si Woo",Choi Jong-gyoo,"Sisters Ji-soo and Ji-yeong decided to sell their used underwear due to financial difficulties. Perverted men offer to buy them at a higher price by asking these two sisters for shots of them wearing the underwear. Other men offer to pay even higher prices by demanding sex out of greater desire. As the sisters earn more money than expected, their service becomes more and more popular.",4.5
Arcadian,"Action, Horror, Thriller, Science Fiction","Nicolas Cage, Jaeden Martell, Maxwell Jenkins",Benjamin Brewer,"In the near future, on a decimated Earth, Paul and his twin sons face terror at night when ferocious creatures awaken. When Paul is nearly killed, the boys come up with a plan for survival, using everything their father taught them to keep him alive.",6.1
Transformers One,"Animation, Science Fiction, Adventure, Family","Chris Hemsworth, Brian Tyree Henry, Scarlett Johansson",Josh Cooley,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",8.086
xXx,"Action, Adventure, Thriller, Crime","Vin Diesel, Asia Argento, Marton Csokas",Rob Cohen,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",5.9
Sonic the Hedgehog 2,"Action, Adventure, Family, Comedy","Ben Schwartz, James Marsden, Tika Sumpter",Jeff Fowler,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",7.5
The Thicket,"Crime, Thriller, Western","Peter Dinklage, Juliette Lewis, Levon Hawke",Elliott Lester,"An innocent young man, Jack, goes on an epic quest to rescue his sister Lula after she has been kidnapped by the violent killer Cut Throat Bill and her gang. To save her, Jack enlists the help of a crafty bounty hunter named Reginald Jones, a grave-digging alcoholic son of an ex-slave, and a street-smart prostitute. The gang tracks Cut Throat Bill into the deadly no-man’s land known as The Big Thicket — a place where blood and chaos reign.",6.3
Bad Boys: Ride or Die,"Action, Comedy, Crime, Thriller, Adventure","Will Smith, Martin Lawrence, Vanessa Hudgens","Adil El Arbi, Bilall Fallah","After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",7.421
Fast X,"Action, Crime, Thriller","Vin Diesel, Michelle Rodriguez, Tyrese Gibson",Louis Leterrier,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",7.1
Babygirl,Drama,"Nicole Kidman, Harris Dickinson, Antonio Banderas",Halina Reijn,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much younger intern.,5.7
Santa Isn't Real,Horror,"Scarlett Sperduto, Kaya Coleman, Dana Millican",Zac Locke,"After suffering a brutal attack on Christmas Eve, Nikki struggles to convince her friends that the assailant was none other than Ol' Kris Kringle. When Santa returns to terrorize the group in their remote cabin the next Christmas, Nikki and her friends must overcome disbelief as they fight to stay alive.",7.2
The Love Scam,"Comedy, Romance","Antonio Folletto, Laura Adriani, Vincenzo Nemolato",Umberto Riccioni Carteni,"Drowning in debt, two brothers concoct a plan to scam a wealthy heiress and save their home in Naples — but unexpected love soon complicates the scheme.",6.581
Wolf Man,"Horror, Thriller","Christopher Abbott, Julia Garner, Matilda Firth",Leigh Whannell,"With his marriage fraying, Blake persuades his wife Charlotte to take a break from the city and visit his remote childhood home in rural Oregon. As they arrive at the farmhouse in the dead of night, they're attacked by an unseen animal and barricade themselves inside the home as the creature prowls the perimeter. But as the night stretches on, Blake begins to behave strangely, transforming into something unrecognizable.",7.3
Female Teacher Closing the Door,"Romance, Drama","Ayaka Yamagishi, Takeshi Yoshida, Yoshitaka Hosokawa",Hideo Jojo,A sensual suspense that tells the story of a female teacher and a young student locked in a closed room in the middle of summer.,8.5
365 Days: This Day,"Romance, Drama","Anna-Maria Sieklucka, Michele Morrone, Simone Susinna","Barbara Białowąs, Tomasz Mandes","Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.",5.9
Weekend in Taipei,"Action, Adventure, Thriller","Luke Evans, Gwei Lun-Mei, Sung Kang",George Huang,"A former DEA agent and a former undercover operative revisit their romance during a fateful weekend in Taipei, unaware of the dangerous consequences of their past.",6.2
Watchmen: Chapter II,"Animation, Mystery, Science Fiction, Action","Troy Baker, Adrienne Barbeau, Michael Cerveris",Brandon Vietti,"Suspicious of the events ensnaring their former colleagues, Nite Owl and Silk Spectre are spurred out of retirement to investigate. As they grapple with personal ethics, inner demons and a society turned against them, they race the clock to uncover a deepening plot that might trigger global nuclear war.",7.4
Survive,"Science Fiction, Thriller, Adventure, Action","Andreas Pietschmann, Émilie Dequenne, Lucas Ebel",Frédéric Jardin,A couple celebrates their son’s birthday in the middle of the ocean on their boat. A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.,5.9
The Count of Monte Cristo,"Action, Adventure, Drama","Pierre Niney, Bastien Bouillon, Anaïs Demoustier","Alexandre de La Patellière, Matthieu Delaporte","Edmond Dantes becomes the target of a sinister plot and is arrested on his wedding day for a crime he did not commit. After 14 years in the island prison of Château d’If, he manages a daring escape. Now rich beyond his dreams, he assumes the identity of the Count of Monte-Cristo and exacts his revenge on the three men who betrayed him.",8.1
The Gardener,"Action, Comedy","Jean-Claude Van Damme, Michaël Youn, Nawell Madani",David Charhon,"Every year the Prime Minister has a list of all kinds of troublemakers eliminated in the name of the famous Reason of State. Serge Shuster, Special Adviser to the President of the Republic, finds himself on this list, better known as the Matignon List.  Condemned to certain death and at the heart of an implacable plot and a state secret that also put his family in danger, Serge, his wife and children have only one hope left - their gardener, Léo, who hates it when « slugs » invade his garden... Especially those that want to kill innocent families.",4.7
The Platform 2,"Science Fiction, Horror, Thriller","Milena Smit, Hovik Keuchkerian, Natalia Tena",Galder Gaztelu-Urrutia,"After a mysterious leader imposes his law in a brutal system of vertical cells, a new arrival battles against a dubious food distribution method.",5.6
Conclave,Drama,"Ralph Fiennes, Stanley Tucci, John Lithgow",Edward Berger,"After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.",7.186
Kung Fu Panda 4,"Animation, Family, Fantasy, Action","Jack Black, Awkwafina, Viola Davis",Mike Mitchell,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",7.066
Tatsulok: Tatlo Magkasalo,"Drama, Romance","Mariane Saint, Marlon Marcia, Skye Gonzaga",Jojo Nadela,"Story about a happily married couple visited by an old friend, who ends up stirring the pot by becoming sexually involved with both the husband and the wife.",6.2
The Room Next Door,Drama,"Julianne Moore, Tilda Swinton, John Turturro",Pedro Almodóvar,"Ingrid and Martha were close friends in their youth, when they worked together at the same magazine. Ingrid went on to become an autofiction novelist while Martha became a war reporter, and they were separated by the circumstances of life. After years of being out of touch, they meet again in an extreme but strangely sweet situation.",7.1
Lembayung,"Horror, Thriller","Taskya Namya, Yasamin Jasem, Arya Saloka",Baim Wong,"Arum and Pica, who wanted to complete their internship at Lembayung hospital, had to face mysterious terror from a woman satan who was suspected of hanged herself in the bathroom. The situation became even more tense after they asked others for help to the point where they threatened their own lives and those closest to them.",7.75
Death Note Relight 1: Visions of a God,"TV Movie, Crime, Drama, Fantasy, Thriller, Animation","Mamoru Miyano, Shido Nakamura, Kappei Yamaguchi",Tetsuro Araki,"A recap of Death Note episodes 1–26, with new footage. When rogue shinigami Ryuk leaves his Death Note in the human world, he has no idea how far the one who finds it will take his new-found power. With the Death Note in hand, brilliant high school student Light Yagami vows to rid the world of evil.",8.1
Memoir of a Snail,"Animation, Drama, Comedy","Sarah Snook, Kodi Smit-McPhee, Jacki Weaver",Adam Elliot,"Forcibly separated from her twin brother when they are orphaned, a melancholic misfit learns how to find confidence within herself amid the clutter of misfortunes and everyday life.",7.9
Moana,"Adventure, Comedy, Family, Fantasy","Catherine Laga'Aia, Dwayne Johnson, Rena Owen",Thomas Kail,"In Ancient Polynesia, when a terrible curse incurred by Maui reaches the island of an impetuous Chieftain, his willful daughter answers the Ocean's call to seek out the demigod to set things right.",0.0
We Live in Time,"Romance, Drama","Andrew Garfield, Florence Pugh, Grace Delaney",John Crowley,"An up-and-coming chef and a recent divorcée find their lives forever changed when a chance encounter brings them together, in a decade-spanning, deeply moving romance.",7.5
Levels,"Action, Science Fiction, Thriller","Cara Gee, Peter Mooney, Aaron Abrams",Adam Stern,"After witnessing his girlfriend's murder, a man risks everything - including reality itself - to discover the truth.",5.6
Bagman,"Horror, Thriller","Sam Claflin, Antonia Thomas, Caréll Vincent Rhoden",Colm McCarthy,"For centuries and across cultures, parents have warned their children of the legendary Bagman, who snatches innocent children and stuffs them into his vile, rotting bag—never to be seen again. Patrick McKee narrowly escaped such an encounter as a boy, which left him with lasting scars throughout his adulthood. Now, Patrick’s childhood tormentor has returned, threatening the safety of his wife Karina and son Jake.",6.3
River of Blood,"Horror, Thriller","Joseph Millson, Sarah Alexandra Marks, David Wayman",Howard J. Ford,Four kayakers take the wrong river into a jungle inhabited by a tribe of merciless cannibals.,6.571
Avengers: Infinity War,"Adventure, Action, Science Fiction","Robert Downey Jr., Chris Evans, Chris Hemsworth","Anthony Russo, Joe Russo","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",8.2
Den of Thieves,"Action, Crime, Thriller","Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr.",Christian Gudegast,A gritty crime saga which follows the lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,6.8
The Crow,"Action, Fantasy, Horror","Bill Skarsgård, FKA twigs, Danny Huston",Rupert Sanders,"Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.",5.847
