title,genres,actors,directors,synopsis,rating
Hocus Pocus 2,"Comedy, Family, Fantasy","Bette Midler, Sarah Jessica Parker, Kathy Najimy",Anne Fletcher,"29 years since the Black Flame Candle was last lit, the 17th-century Sanderson sisters are resurrected, and they are looking for revenge. Now it's up to three high school students to stop the ravenous witches from wreaking a new kind of havoc on the world.",6.0
The Adam Project,"Adventure, Comedy, Science Fiction","Ryan Reynolds, Walker Scobell, Mark Ruffalo",Shawn Levy,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self on a mission to save the future.",6.7
The Batman,"Action, Crime, Drama, Mystery","Robert Pattinson, Zoë Kravitz, Jeffrey Wright",Matt Reeves,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",7.8
Doctor Strange in the Multiverse of Madness,"Action, Adventure, Fantasy","Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor",Sam Raimi,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",6.9
Top Gun: Maverick,"Action, Drama","Tom Cruise, Miles Teller, Jennifer Connelly",Joseph Kosinski,"After more than thirty years of service as one of the Navy's top aviators, and dodging the advancement in rank that would ground him, Pete "Maverick" Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",8.3
Thor: Love and Thunder,"Action, Adventure, Fantasy, Comedy","Chris Hemsworth, Natalie Portman, Christian Bale",Taika Waititi,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher's vengeance and stop him before it's too late.",6.2
Minions: The Rise of Gru,"Animation, Adventure, Comedy, Crime, Family","Steve Carell, Pierre Coffin, Alan Arkin","Kyle Balda, Brad Ableson, Jonathan del Val","A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.",7.3
Lightyear,"Animation, Action, Adventure, Family, Science Fiction","Chris Evans, Keke Palmer, Peter Sohn",Angus MacLane,"Legendary Space Ranger Buzz Lightyear embarks on an intergalactic adventure alongside a group of ambitious recruits and his robot companion Sox.",5.9
Jurassic World Dominion,"Action, Adventure, Science Fiction, Thriller","Chris Pratt, Bryce Dallas Howard, Laura Dern",Colin Trevorrow,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators.",6.7
Sonic the Hedgehog,"Adventure, Family, Comedy, Science Fiction","Ben Schwartz, James Marsden, Jim Carrey",Jeff Fowler,"Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. That is, until Sonic sparks the attention of super-uncool evil genius Dr. Robotnik. Now it's super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic's unique power for world domination.",7.3
Top Gun,"Action, Romance","Tom Cruise, Kelly McGillis, Val Kilmer",Tony Scott,"For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot.",6.9
Spirited Away,"Animation, Family, Supernatural","Rumi Hiiragi, Miyu Irino, Mari Natsuki",Hayao Miyazaki,"A ten-year-old girl who, while moving to a new neighborhood, enters the world of Kami (spirits of Japanese Shinto folklore).",8.5
Everything Everywhere All at Once,"Action, Adventure, Comedy, Science Fiction","Michelle Yeoh, Stephanie Hsu, Ke Huy Quan","Daniel Kwan, Daniel Scheinert","An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",7.8
The Menu,"Comedy, Horror, Thriller","Anya Taylor-Joy, Ralph Fiennes, Nicholas Hoult",Mark Mylod,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",7.2
Nope,"Horror, Mystery, Science Fiction","Daniel Kaluuya, Keke Palmer, Steven Yeun",Jordan Peele,"Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.",6.8
RRR,"Action, Drama","N. T. Rama Rao Jr., Ram Charan, Ajay Devgn",S. S. Rajamouli,"A fearless revolutionary and an officer in the British force, who once shared a deep bond, decide to join forces and chart out an inspirational path of freedom against the despotic rulers.",7.8
The Northman,"Action, Adventure, Drama, Fantasy","Alexander Skarsgård, Nicole Kidman, Claes Bang",Robert Eggers,"From visionary director Robert Eggers comes The Northman, an action-filled epic that follows a young Viking prince on his quest to avenge his father's murder.",7.0
Morbius,"Action, Fantasy, Horror","Jared Leto, Matt Smith, Adria Arjona",Daniel Espinosa,"Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease.",5.1
Turning Red,"Animation, Comedy, Drama, Family, Fantasy","Rosalie Chiang, Sandra Oh, Ava Morse",Domee Shi,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",7.0
The Lost City,"Action, Adventure, Comedy","Sandra Bullock, Channing Tatum, Daniel Radcliffe","Aaron Nee, Adam Nee","Reclusive author Loretta Sage writes about exotic places in her popular adventure novels that feature a handsome cover model named Alan. While on tour promoting her new book with Alan, Loretta gets kidnapped by an eccentric billionaire who hopes she can lead him to the ancient city's lost treasure that featured in her latest story. Alan, determined to prove he can be a hero in real life and not just on the pages of her books, sets off to rescue her.",6.5
Uncharted,"Action, Adventure","Tom Holland, Mark Wahlberg, Antonio Banderas",Ruben Fleischer,"A young street-smart, Nathan Drake and his wisecracking partner Victor "Sully" Sullivan embark on a dangerous pursuit of "the greatest treasure never found" while also tracking clues that may lead to Nathan's long-lost brother.",6.3
The King's Man,"Action, Adventure, Comedy","Ralph Fiennes, Gemma Arterton, Rhys Ifans",Matthew Vaughn,"As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them.",6.3
Spider-Man: No Way Home,"Action, Adventure, Science Fiction","Tom Holland, Zendaya, Benedict Cumberbatch",Jon Watts,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",8.0
Eternals,"Action, Adventure, Drama, Fantasy, Science Fiction","Gemma Chan, Richard Madden, Angelina Jolie",Chloé Zhao,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind's most ancient enemy, the Deviants.",6.9
Dune,"Science Fiction, Adventure","Timothée Chalamet, Rebecca Ferguson, Oscar Isaac",Denis Villeneuve,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",7.8
No Time to Die,"Adventure, Action, Thriller","Daniel Craig, Léa Seydoux, Rami Malek",Cary Joji Fukunaga,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",7.3
Venom: Let There Be Carnage,"Science Fiction, Action, Adventure","Tom Hardy, Woody Harrelson, Michelle Williams",Andy Serkis,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",6.8
The Matrix Resurrections,"Science Fiction, Action, Adventure","Keanu Reeves, Carrie-Anne Moss, Yahya Abdul-Mateen II",Lana Wachowski,"Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix.",5.7
Free Guy,"Action, Adventure, Comedy, Science Fiction","Ryan Reynolds, Jodie Comer, Taika Waititi",Shawn Levy,"A bank teller called Guy realizes he is a background character in an open world video game called Free City that will soon go offline.",7.1
Black Widow,"Action, Adventure, Science Fiction","Scarlett Johansson, Florence Pugh, David Harbour",Cate Shortland,"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",6.8
F9: The Fast Saga,"Action, Crime, Thriller","Vin Diesel, Michelle Rodriguez, Jordana Brewster",Justin Lin,"Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.",6.7
Cruella,"Comedy, Crime","Emma Stone, Emma Thompson, Joel Fry",Craig Gillespie,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella's flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute.",7.4
A Quiet Place Part II,"Horror, Science Fiction, Thriller","Emily Blunt, Millicent Simmonds, Cillian Murphy",John Krasinski,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",7.3
Godzilla vs. Kong,"Action, Science Fiction","Alexander Skarsgård, Millie Bobby Brown, Rebecca Hall",Adam Wingard,"In a time when monsters walk the Earth, humanity's fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",6.8
Zack Snyder's Justice League,"Action, Adventure, Fantasy, Science Fiction","Henry Cavill, Ben Affleck, Gal Gadot",Zack Snyder,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",8.0
Wonder Woman 1984,"Action, Adventure, Fantasy","Gal Gadot, Chris Pine, Kristen Wiig",Patty Jenkins,"A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.",5.4
Tenet,"Action, Thriller, Science Fiction","John David Washington, Robert Pattinson, Elizabeth Debicki",Christopher Nolan,"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",7.3
Mulan,"Action, Adventure, Drama, Fantasy","Yifei Liu, Donnie Yen, Li Gong",Niki Caro,"When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential.",7.2
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"Action, Crime","Margot Robbie, Rosie Perez, Mary Elizabeth Winstead",Cathy Yan,"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit put on her after she stole a rare diamond from a crime lord.",6.9
Bad Boys for Life,"Action, Comedy, Crime","Will Smith, Martin Lawrence, Vanessa Hudgens","Adil El Arbi, Bilall Fallah","Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",7.1
1917,"Drama, War","George MacKay, Dean-Charles Chapman, Mark Strong",Sam Mendes,"At the height of the First World War, two British soldiers must cross enemy territory and deliver a message that will stop a doomed attack on hundreds of soldiers.",8.2
Star Wars: The Rise of Skywalker,"Action, Adventure, Science Fiction","Carrie Fisher, Mark Hamill, Adam Driver",J.J. Abrams,"The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins.",6.3
Joker,"Crime, Drama, Thriller","Joaquin Phoenix, Robert De Niro, Zazie Beetz",Todd Phillips,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",8.2
Avengers: Endgame,"Adventure, Science Fiction, Action","Robert Downey Jr., Chris Evans, Mark Ruffalo","Anthony Russo, Joe Russo","After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",8.3
Captain Marvel,"Action, Adventure, Science Fiction","Brie Larson, Samuel L. Jackson, Ben Mendelsohn","Anna Boden, Ryan Fleck","The story follows Carol Danvers as she becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",6.8
Shazam!,"Action, Comedy, Fantasy","Zachary Levi, Mark Strong, Asher Angel",David F. Sandberg,"A boy is given the ability to become an adult superhero in times of need with a single magic word.",7.0
Alita: Battle Angel,"Action, Science Fiction, Adventure","Rosa Salazar, Christoph Waltz, Jennifer Connelly",Robert Rodriguez,"When Alita awakens with no memory of who she is in a future world she does not recognize, she is taken in by Ido, a compassionate doctor who realizes that somewhere in this abandoned cyborg shell is the heart and soul of a young woman with an extraordinary past.",7.2
Aquaman,"Action, Adventure, Fantasy","Jason Momoa, Amber Heard, Willem Dafoe",James Wan,"Once home to the most advanced civilization on Earth, Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people and then the surface world. Standing in his way is Arthur Curry, Orm's half-human, half-Atlantean brother and true heir to the throne.",6.9
Spider-Man: Into the Spider-Verse,"Action, Adventure, Animation, Science Fiction, Comedy","Shameik Moore, Jake Johnson, Hailee Steinfeld","Bob Persichetti, Peter Ramsey, Rodney Rothman","Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops mysterious powers that transform him into the one and only Spider-Man. When he meets Peter Parker, he soon realizes that there are many others who share his special, high-flying talents. Miles must now use his newfound skills to battle the evil Kingpin, a hulking madman who can open portals to other universes and pull different versions of Spider-Man into our world.",8.4
Venom,"Science Fiction, Action","Tom Hardy, Michelle Williams, Riz Ahmed",Ruben Fleischer,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",6.8
Fantastic Beasts: The Crimes of Grindelwald,"Adventure, Family, Fantasy","Eddie Redmayne, Katherine Waterston, Dan Fogler",David Yates,"Gellert Grindelwald has escaped imprisonment and has begun gathering followers to his cause—elevating wizards above all non-magical beings. The only one capable of putting a stop to him is the wizard he once called his closest friend, Albus Dumbledore. However, Dumbledore will need to seek help from the wizard who had thwarted Grindelwald once before, his former student Newt Scamander, who agrees to help, unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world.",6.9
The Nun,"Horror, Mystery, Thriller","Taissa Farmiga, Demián Bichir, Jonas Bloquet",Corin Hardy,"A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.",5.3
The Predator,"Action, Adventure, Horror, Science Fiction","Boyd Holbrook, Trevante Rhodes, Jacob Tremblay",Shane Black,"When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",5.3
A Star Is Born,"Drama, Music, Romance","Bradley Cooper, Lady Gaga, Sam Elliott",Bradley Cooper,"Seasoned musician Jackson Maine discovers — and falls in love with — struggling artist Ally. She has just about given up on her dream to make it big as a singer — until Jack coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their relationship is breaking down, as Jack fights an ongoing battle with his own internal demons.",7.5
Venom: Let There Be Carnage,"Science Fiction, Action, Adventure","Tom Hardy, Woody Harrelson, Michelle Williams",Andy Serkis,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",6.8
Mission: Impossible - Fallout,"Action, Adventure, Thriller","Tom Cruise, Henry Cavill, Ving Rhames",Christopher McQuarrie,"When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe.",7.4
Ant-Man and the Wasp,"Action, Adventure, Science Fiction","Paul Rudd, Evangeline Lilly, Michael Peña",Peyton Reed,"Just when his time under house arrest is about to end, Scott Lang once again puts his freedom at risk to help Hope van Dyne and Dr. Hank Pym dive into the quantum realm and try to accomplish, against time and any chance of success, a very dangerous rescue mission.",7.0
Incredibles 2,"Animation, Action, Adventure, Family","Craig T. Nelson, Holly Hunter, Sarah Vowell",Brad Bird,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",7.5
Jurassic World: Fallen Kingdom,"Action, Adventure, Science Fiction","Chris Pratt, Bryce Dallas Howard, Rafe Spall",J. A. Bayona,"Three years after the demise of Jurassic World, a volcanic eruption threatens the remaining dinosaurs on the isle of Isla Nublar. Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",6.5
Solo: A Star Wars Story,"Action, Adventure, Science Fiction","Alden Ehrenreich, Woody Harrelson, Emilia Clarke",Ron Howard,"Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian.",6.4
Deadpool 2,"Action, Comedy, Adventure","Ryan Reynolds, Josh Brolin, Morena Baccarin",David Leitch,"Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.",7.7
Avengers: Infinity War,"Adventure, Action, Science Fiction","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo","Anthony Russo, Joe Russo","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",8.3
Ready Player One,"Adventure, Science Fiction, Action","Tye Sheridan, Olivia Cooke, Ben Mendelsohn",Steven Spielberg,"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.",7.4
Black Panther,"Action, Adventure, Science Fiction","Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o",Ryan Coogler,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid-sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",7.3
Star Wars: The Last Jedi,"Adventure, Science Fiction, Action","Mark Hamill, Carrie Fisher, Adam Driver",Rian Johnson,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.",6.9
Justice League,"Action, Adventure, Fantasy","Ben Affleck, Henry Cavill, Amy Adams",Zack Snyder,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",6.1
Thor: Ragnarok,"Action, Adventure, Comedy","Chris Hemsworth, Tom Hiddleston, Cate Blanchett",Taika Waititi,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela.",7.9
Blade Runner 2049,"Science Fiction, Drama","Ryan Gosling, Harrison Ford, Ana de Armas",Denis Villeneuve,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",7.9
It,"Horror","Bill Skarsgård, Jaeden Martell, Finn Wolfhard",Andy Muschietti,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",7.3
Wonder Woman,"Action, Adventure, Fantasy","Gal Gadot, Chris Pine, Robin Wright",Patty Jenkins,"An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.",7.4
Spider-Man: Homecoming,"Action, Adventure, Science Fiction","Tom Holland, Michael Keaton, Robert Downey Jr.",Jon Watts,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",7.4
Guardians of the Galaxy Vol. 2,"Science Fiction, Action, Adventure","Chris Pratt, Zoe Saldaña, Dave Bautista",James Gunn,"The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.",7.6
The Fate of the Furious,"Action, Crime, Thriller","Vin Diesel, Jason Statham, Dwayne Johnson",F. Gary Gray,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",6.9
Logan,"Action, Drama, Science Fiction","Hugh Jackman, Patrick Stewart, Dafne Keen",James Mangold,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",8.1
Kong: Skull Island,"Action, Adventure, Fantasy","Tom Hiddleston, Samuel L. Jackson, Brie Larson",Jordan Vogt-Roberts,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.",6.7
Beauty and the Beast,"Family, Fantasy, Romance","Emma Watson, Dan Stevens, Luke Evans",Bill Condon,"A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.",7.0
Get Out,"Horror, Mystery, Thriller","Daniel Kaluuya, Allison Williams, Marlon Wayans",Jordan Peele,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",7.8
La La Land,"Comedy, Drama, Romance","Ryan Gosling, Emma Stone, Rosemarie DeWitt",Damien Chazelle,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",7.9
Rogue One: A Star Wars Story,"Action, Adventure, Science Fiction","Felicity Jones, Diego Luna, Alan Tudyk",Gareth Edwards,"A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring new hope to the galaxy.",7.8
Doctor Strange,"Action, Adventure, Fantasy, Science Fiction","Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams",Scott Derrickson,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",7.5
Suicide Squad,"Action, Adventure, Fantasy","Will Smith, Jared Leto, Margot Robbie",David Ayer,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",5.9
